Date,Close,Open,High,Low,Volume
20241016,20380,20800,20815,20300,615401
20241015,20615,21170,21365,20355,838804
20241014,21140,21195,21325,20970,444111
20241011,21525,21950,22240,21400,399261
20241010,21925,22315,22335,21895,374219
20241008,22280,21795,22385,21710,627043
20241007,22025,21585,22110,21440,592522
20241004,21345,21640,21810,21290,533422
20241002,21780,21600,22185,21600,460982
20240930,21910,22330,22670,21910,472215
20240927,22110,22065,22285,21795,536345
20240926,22030,21580,22030,21355,647867
20240925,21500,21655,21930,21465,776216
20240924,21640,20860,21640,20860,909459
20240923,20685,20270,20720,20080,747647
20240920,20240,20455,20615,20210,530459
20240919,20195,20425,20610,19855,1101431
20240913,20215,20265,20380,19855,564107
20240912,20160,19895,20160,19700,679330
20240911,19600,18700,19730,18700,1064315
20240910,18670,19180,19340,18660,707423
20240909,19085,18860,19330,18725,993556
20240906,19230,20170,20330,19110,664871
20240905,20110,20395,20650,19960,1174867
20240904,20155,20140,20560,20080,951152
20240903,20795,21200,21255,20670,476005
20240902,21030,19950,21120,19950,1152739
20240830,19830,19900,20035,19645,534445
20240829,19875,19120,20050,19090,717575
20240828,19205,19615,19705,19160,339933
